framework,url,threads,connections,req_count,total_time,rps,framework_run_threads,errors
aiohttp,/test,4,100,109432,5.03,21746.88,4,
aiohttp,/test_basic_html,4,100,49472,5.03,9833.47,4,
aiohttp,/test_large_html,4,100,3501,5.03,695.45,4,"('0', '0', '0', '1')"
aiohttp,/test_wait_db,4,100,90,5.04,17.86,4,"('0', '0', '0', '90')"
aiohttp,/test_medium_db,4,100,7,5.05,1.39,4,"('0', '0', '0', '7')"
aiohttp,/test_basic_db,4,100,8023,5.05,1587.42,4,
fastAPI,/test,4,100,44777,5.02,8912.63,4,
fastAPI,/test_basic_html,4,100,42603,5.04,8455.03,4,
fastAPI,/test_large_html,4,100,41913,5.03,8339.00,4,
fastAPI,/test_wait_db,4,100,41263,5.03,8198.53,4,
fastAPI,/test_medium_db,4,100,41323,5.03,8218.20,4,
fastAPI,/test_basic_db,4,100,41175,5.02,8198.76,4,
flask,/test,4,100,8933,5.03,1776.46,4,
flask,/test_basic_html,4,100,8212,5.04,1627.95,4,
flask,/test_large_html,4,100,2987,5.04,593.16,4,
flask,/test_wait_db,4,100,8,5.04,1.59,4,"('0', '0', '0', '8')"
flask,/test_medium_db,4,100,0,5.05,0.00,4,
flask,/test_basic_db,4,100,0,5.03,0.00,4,
